make: Entering directory '/home/armorer/development/linux/tools/testing/selftests'
# # HDMI.0 HDMI/DP,pcm=3 Jack
# ok 142 name.HDMI.0
# # HDMI/DP,pcm=3 Jack is not writeable
# ok 143 # SKIP write_default.HDMI.0
# # HDMI/DP,pcm=3 Jack is not writeable
# ok 144 # SKIP write_valid.HDMI.0
# # HDMI/DP,pcm=3 Jack is not writeable
# ok 145 # SKIP write_invalid.HDMI.0
# ok 146 event_missing.HDMI.0
# ok 147 event_spurious.HDMI.0
# ok 148 get_value.PCH.23
# # PCH.23 PCM Playback Volume
# ok 149 name.PCH.23
# ok 150 write_default.PCH.23
# ok 151 write_valid.PCH.23
# ok 152 write_invalid.PCH.23
# ok 153 event_missing.PCH.23
# ok 154 event_spurious.PCH.23
# ok 155 get_value.PCH.22
# # PCH.22 Capture Channel Map
# ok 156 name.PCH.22
# # Capture Channel Map is not writeable
# ok 157 # SKIP write_default.PCH.22
# # Capture Channel Map is not writeable
# ok 158 # SKIP write_valid.PCH.22
# # Capture Channel Map is not writeable
# ok 159 # SKIP write_invalid.PCH.22
# ok 160 event_missing.PCH.22
# ok 161 event_spurious.PCH.22
# ok 162 get_value.PCH.21
# # PCH.21 Playback Channel Map
# ok 163 name.PCH.21
# # Playback Channel Map is not writeable
# ok 164 # SKIP write_default.PCH.21
# # Playback Channel Map is not writeable
# ok 165 # SKIP write_valid.PCH.21
# # Playback Channel Map is not writeable
# ok 166 # SKIP write_invalid.PCH.21
# ok 167 event_missing.PCH.21
# ok 168 event_spurious.PCH.21
# ok 169 get_value.PCH.20
# # PCH.20 Speaker Phantom Jack
# ok 170 name.PCH.20
# # Speaker Phantom Jack is not writeable
# ok 171 # SKIP write_default.PCH.20
# # Speaker Phantom Jack is not writeable
# ok 172 # SKIP write_valid.PCH.20
# # Speaker Phantom Jack is not writeable
# ok 173 # SKIP write_invalid.PCH.20
# ok 174 event_missing.PCH.20
# ok 175 event_spurious.PCH.20
# ok 176 get_value.PCH.19
# # PCH.19 Headphone Jack
# ok 177 name.PCH.19
# # Headphone Jack is not writeable
# ok 178 # SKIP write_default.PCH.19
# # Headphone Jack is not writeable
# ok 179 # SKIP write_valid.PCH.19
# # Headphone Jack is not writeable
# ok 180 # SKIP write_invalid.PCH.19
# ok 181 event_missing.PCH.19
# ok 182 event_spurious.PCH.19
# ok 183 get_value.PCH.18
# # PCH.18 Mic Jack
# ok 184 name.PCH.18
# # Mic Jack is not writeable
# ok 185 # SKIP write_default.PCH.18
# # Mic Jack is not writeable
# ok 186 # SKIP write_valid.PCH.18
# # Mic Jack is not writeable
# ok 187 # SKIP write_invalid.PCH.18
# ok 188 event_missing.PCH.18
# ok 189 event_spurious.PCH.18
# ok 190 get_value.PCH.17
# # PCH.17 Internal Mic Phantom Jack
# ok 191 name.PCH.17
# # Internal Mic Phantom Jack is not writeable
# ok 192 # SKIP write_default.PCH.17
# # Internal Mic Phantom Jack is not writeable
# ok 193 # SKIP write_valid.PCH.17
# # Internal Mic Phantom Jack is not writeable
# ok 194 # SKIP write_invalid.PCH.17
# ok 195 event_missing.PCH.17
# ok 196 event_spurious.PCH.17
# ok 197 get_value.PCH.16
# # PCH.16 Master Playback Switch
# ok 198 name.PCH.16
# ok 199 write_default.PCH.16
# ok 200 write_valid.PCH.16
# ok 201 write_invalid.PCH.16
# ok 202 event_missing.PCH.16
# ok 203 event_spurious.PCH.16
# ok 204 get_value.PCH.15
# # PCH.15 Master Playback Volume
# ok 205 name.PCH.15
# ok 206 write_default.PCH.15
# ok 207 write_valid.PCH.15
# ok 208 write_invalid.PCH.15
# ok 209 event_missing.PCH.15
# ok 210 event_spurious.PCH.15
# ok 211 get_value.PCH.14
# # PCH.14 Mic Boost Volume
# ok 212 name.PCH.14
# ok 213 write_default.PCH.14
# ok 214 write_valid.PCH.14
# ok 215 write_invalid.PCH.14
# ok 216 event_missing.PCH.14
# ok 217 event_spurious.PCH.14
# ok 218 get_value.PCH.13
# # PCH.13 Internal Mic Boost Volume
# ok 219 name.PCH.13
# ok 220 write_default.PCH.13
# ok 221 write_valid.PCH.13
# ok 222 write_invalid.PCH.13
# ok 223 event_missing.PCH.13
# ok 224 event_spurious.PCH.13
# ok 225 get_value.PCH.12
# # PCH.12 Mic Capture Switch
# ok 226 name.PCH.12
# ok 227 write_default.PCH.12
# ok 228 write_valid.PCH.12
# ok 229 write_invalid.PCH.12
# ok 230 event_missing.PCH.12
# ok 231 event_spurious.PCH.12
# ok 232 get_value.PCH.11
# # PCH.11 Mic Capture Volume
# ok 233 name.PCH.11
# ok 234 write_default.PCH.11
# ok 235 write_valid.PCH.11
# ok 236 write_invalid.PCH.11
# ok 237 event_missing.PCH.11
# ok 238 event_spurious.PCH.11
# ok 239 get_value.PCH.10
# # PCH.10 Inverted Internal Mic Capture Switch
# ok 240 name.PCH.10
# ok 241 write_default.PCH.10
# ok 242 write_valid.PCH.10
# ok 243 write_invalid.PCH.10
# ok 244 event_missing.PCH.10
# ok 245 event_spurious.PCH.10
# ok 246 get_value.PCH.9
# # PCH.9 Internal Mic Capture Switch
# ok 247 name.PCH.9
# ok 248 write_default.PCH.9
# ok 249 write_valid.PCH.9
# ok 250 write_invalid.PCH.9
# ok 251 event_missing.PCH.9
# ok 252 event_spurious.PCH.9
# ok 253 get_value.PCH.8
# # PCH.8 Inverted Internal Mic Capture Volume
# ok 254 name.PCH.8
# ok 255 write_default.PCH.8
# ok 256 write_valid.PCH.8
# ok 257 write_invalid.PCH.8
# ok 258 event_missing.PCH.8
# ok 259 event_spurious.PCH.8
# ok 260 get_value.PCH.7
# # PCH.7 Internal Mic Capture Volume
# ok 261 name.PCH.7
# ok 262 write_default.PCH.7
# ok 263 write_valid.PCH.7
# ok 264 write_invalid.PCH.7
# ok 265 event_missing.PCH.7
# ok 266 event_spurious.PCH.7
# ok 267 get_value.PCH.6
# # PCH.6 Auto-Mute Mode
# ok 268 name.PCH.6
# ok 269 write_default.PCH.6
# ok 270 write_valid.PCH.6
# ok 271 write_invalid.PCH.6
# ok 272 event_missing.PCH.6
# ok 273 event_spurious.PCH.6
# ok 274 get_value.PCH.5
# # PCH.5 Speaker Playback Switch
# ok 275 name.PCH.5
# ok 276 write_default.PCH.5
# ok 277 write_valid.PCH.5
# ok 278 write_invalid.PCH.5
# ok 279 event_missing.PCH.5
# ok 280 event_spurious.PCH.5
# ok 281 get_value.PCH.4
# # PCH.4 Speaker Playback Volume
# ok 282 name.PCH.4
# ok 283 write_default.PCH.4
# ok 284 write_valid.PCH.4
# ok 285 write_invalid.PCH.4
# ok 286 event_missing.PCH.4
# ok 287 event_spurious.PCH.4
# ok 288 get_value.PCH.3
# # PCH.3 Headphone Playback Switch
# ok 289 name.PCH.3
# ok 290 write_default.PCH.3
# ok 291 write_valid.PCH.3
# ok 292 write_invalid.PCH.3
# ok 293 event_missing.PCH.3
# ok 294 event_spurious.PCH.3
# ok 295 get_value.PCH.2
# # PCH.2 Headphone Playback Volume
# ok 296 name.PCH.2
# ok 297 write_default.PCH.2
# ok 298 write_valid.PCH.2
# ok 299 write_invalid.PCH.2
# ok 300 event_missing.PCH.2
# ok 301 event_spurious.PCH.2
# ok 302 get_value.PCH.1
# # PCH.1 Beep Playback Switch
# ok 303 name.PCH.1
# ok 304 write_default.PCH.1
# # Beep Playback Switch.0 expected 0 but read 1, is_volatile 0
# not ok 305 write_valid.PCH.1
# ok 306 write_invalid.PCH.1
# ok 307 event_missing.PCH.1
# ok 308 event_spurious.PCH.1
# ok 309 get_value.PCH.0
# # PCH.0 Beep Playback Volume
# ok 310 name.PCH.0
# ok 311 write_default.PCH.0
# ok 312 write_valid.PCH.0
# ok 313 write_invalid.PCH.0
# ok 314 event_missing.PCH.0
# ok 315 event_spurious.PCH.0
# ok 316 get_value.Loopback.112
# # Loopback.112 PCM Playback Volume
# ok 317 name.Loopback.112
# ok 318 write_default.Loopback.112
# ok 319 write_valid.Loopback.112
# ok 320 write_invalid.Loopback.112
# ok 321 event_missing.Loopback.112
# ok 322 event_spurious.Loopback.112
# ok 323 get_value.Loopback.111
# # Loopback.111 PCM Slave Access Mode
# ok 324 name.Loopback.111
# # PCM Slave Access Mode is not writeable
# ok 325 # SKIP write_default.Loopback.111
# # PCM Slave Access Mode is not writeable
# ok 326 # SKIP write_valid.Loopback.111
# # PCM Slave Access Mode is not writeable
# ok 327 # SKIP write_invalid.Loopback.111
# ok 328 event_missing.Loopback.111
# ok 329 event_spurious.Loopback.111
# # PCM Slave Channels.0 value 2 invalid for step 1 minimum 1
# not ok 330 get_value.Loopback.110
# # Loopback.110 PCM Slave Channels
# ok 331 name.Loopback.110
# # PCM Slave Channels is not writeable
# ok 332 # SKIP write_default.Loopback.110
# # PCM Slave Channels is not writeable
# ok 333 # SKIP write_valid.Loopback.110
# # PCM Slave Channels is not writeable
# ok 334 # SKIP write_invalid.Loopback.110
# ok 335 event_missing.Loopback.110
# ok 336 event_spurious.Loopback.110
# # PCM Slave Rate.0 value 48000 invalid for step 1 minimum 0
# not ok 337 get_value.Loopback.109
# # Loopback.109 PCM Slave Rate
# ok 338 name.Loopback.109
# # PCM Slave Rate is not writeable
# ok 339 # SKIP write_default.Loopback.109
# # PCM Slave Rate is not writeable
# ok 340 # SKIP write_valid.Loopback.109
# # PCM Slave Rate is not writeable
# ok 341 # SKIP write_invalid.Loopback.109
# ok 342 event_missing.Loopback.109
# ok 343 event_spurious.Loopback.109
# # PCM Slave Format.0 value 2 invalid for step 1 minimum 0
# not ok 344 get_value.Loopback.108
# # Loopback.108 PCM Slave Format
# ok 345 name.Loopback.108
# # PCM Slave Format is not writeable
# ok 346 # SKIP write_default.Loopback.108
# # PCM Slave Format is not writeable
# ok 347 # SKIP write_valid.Loopback.108
# # PCM Slave Format is not writeable
# ok 348 # SKIP write_invalid.Loopback.108
# ok 349 event_missing.Loopback.108
# ok 350 event_spurious.Loopback.108
# ok 351 get_value.Loopback.107
# # Loopback.107 PCM Slave Active
# ok 352 name.Loopback.107
# # PCM Slave Active is not writeable
# ok 353 # SKIP write_default.Loopback.107
# # PCM Slave Active is not writeable
# ok 354 # SKIP write_valid.Loopback.107
# # PCM Slave Active is not writeable
# ok 355 # SKIP write_invalid.Loopback.107
# ok 356 event_missing.Loopback.107
# ok 357 event_spurious.Loopback.107
# ok 358 get_value.Loopback.106
# # Loopback.106 PCM Notify
# # 0.106 PCM Notify is a writeable boolean but not a Switch
# not ok 359 name.Loopback.106
# ok 360 write_default.Loopback.106
# ok 361 write_valid.Loopback.106
# ok 362 write_invalid.Loopback.106
# ok 363 event_missing.Loopback.106
# ok 364 event_spurious.Loopback.106
# # PCM Rate Shift 100000.0 value 100000 invalid for step 1 minimum 80000
# not ok 365 get_value.Loopback.105
# # Loopback.105 PCM Rate Shift 100000
# ok 366 name.Loopback.105
# ok 367 write_default.Loopback.105
# ok 368 write_valid.Loopback.105
# ok 369 write_invalid.Loopback.105
# ok 370 event_missing.Loopback.105
# ok 371 event_spurious.Loopback.105
# ok 372 get_value.Loopback.104
# # Loopback.104 PCM Slave Access Mode
# ok 373 name.Loopback.104
# # PCM Slave Access Mode is not writeable
# ok 374 # SKIP write_default.Loopback.104
# # PCM Slave Access Mode is not writeable
# ok 375 # SKIP write_valid.Loopback.104
# # PCM Slave Access Mode is not writeable
# ok 376 # SKIP write_invalid.Loopback.104
# ok 377 event_missing.Loopback.104
# ok 378 event_spurious.Loopback.104
# # PCM Slave Channels.0 value 2 invalid for step 1 minimum 1
# not ok 379 get_value.Loopback.103
# # Loopback.103 PCM Slave Channels
# ok 380 name.Loopback.103
# # PCM Slave Channels is not writeable
# ok 381 # SKIP write_default.Loopback.103
# # PCM Slave Channels is not writeable
# ok 382 # SKIP write_valid.Loopback.103
# # PCM Slave Channels is not writeable
# ok 383 # SKIP write_invalid.Loopback.103
# ok 384 event_missing.Loopback.103
# ok 385 event_spurious.Loopback.103
# # PCM Slave Rate.0 value 48000 invalid for step 1 minimum 0
# not ok 386 get_value.Loopback.102
# # Loopback.102 PCM Slave Rate
# ok 387 name.Loopback.102
# # PCM Slave Rate is not writeable
# ok 388 # SKIP write_default.Loopback.102
# # PCM Slave Rate is not writeable
# ok 389 # SKIP write_valid.Loopback.102
# # PCM Slave Rate is not writeable
# ok 390 # SKIP write_invalid.Loopback.102
# ok 391 event_missing.Loopback.102
# ok 392 event_spurious.Loopback.102
# # PCM Slave Format.0 value 2 invalid for step 1 minimum 0
# not ok 393 get_value.Loopback.101
# # Loopback.101 PCM Slave Format
# ok 394 name.Loopback.101
# # PCM Slave Format is not writeable
# ok 395 # SKIP write_default.Loopback.101
# # PCM Slave Format is not writeable
# ok 396 # SKIP write_valid.Loopback.101
# # PCM Slave Format is not writeable
# ok 397 # SKIP write_invalid.Loopback.101
# ok 398 event_missing.Loopback.101
# ok 399 event_spurious.Loopback.101
# ok 400 get_value.Loopback.100
# # Loopback.100 PCM Slave Active
# ok 401 name.Loopback.100
# # PCM Slave Active is not writeable
# ok 402 # SKIP write_default.Loopback.100
# # PCM Slave Active is not writeable
# ok 403 # SKIP write_valid.Loopback.100
# # PCM Slave Active is not writeable
# ok 404 # SKIP write_invalid.Loopback.100
# ok 405 event_missing.Loopback.100
# ok 406 event_spurious.Loopback.100
# ok 407 get_value.Loopback.99
# # Loopback.99 PCM Notify
# # 0.99 PCM Notify is a writeable boolean but not a Switch
# not ok 408 name.Loopback.99
# ok 409 write_default.Loopback.99
# ok 410 write_valid.Loopback.99
# ok 411 write_invalid.Loopback.99
# ok 412 event_missing.Loopback.99
# ok 413 event_spurious.Loopback.99
# # PCM Rate Shift 100000.0 value 100000 invalid for step 1 minimum 80000
# not ok 414 get_value.Loopback.98
# # Loopback.98 PCM Rate Shift 100000
# ok 415 name.Loopback.98
# ok 416 write_default.Loopback.98
# ok 417 write_valid.Loopback.98
# ok 418 write_invalid.Loopback.98
# ok 419 event_missing.Loopback.98
# ok 420 event_spurious.Loopback.98
# ok 421 get_value.Loopback.97
# # Loopback.97 PCM Slave Access Mode
# ok 422 name.Loopback.97
# # PCM Slave Access Mode is not writeable
# ok 423 # SKIP write_default.Loopback.97
# # PCM Slave Access Mode is not writeable
# ok 424 # SKIP write_valid.Loopback.97
# # PCM Slave Access Mode is not writeable
# ok 425 # SKIP write_invalid.Loopback.97
# ok 426 event_missing.Loopback.97
# ok 427 event_spurious.Loopback.97
# # PCM Slave Channels.0 value 2 invalid for step 1 minimum 1
# not ok 428 get_value.Loopback.96
# # Loopback.96 PCM Slave Channels
# ok 429 name.Loopback.96
# # PCM Slave Channels is not writeable
# ok 430 # SKIP write_default.Loopback.96
# # PCM Slave Channels is not writeable
# ok 431 # SKIP write_valid.Loopback.96
# # PCM Slave Channels is not writeable
# ok 432 # SKIP write_invalid.Loopback.96
# ok 433 event_missing.Loopback.96
# ok 434 event_spurious.Loopback.96
# # PCM Slave Rate.0 value 48000 invalid for step 1 minimum 0
# not ok 435 get_value.Loopback.95
# # Loopback.95 PCM Slave Rate
# ok 436 name.Loopback.95
# # PCM Slave Rate is not writeable
# ok 437 # SKIP write_default.Loopback.95
# # PCM Slave Rate is not writeable
# ok 438 # SKIP write_valid.Loopback.95
# # PCM Slave Rate is not writeable
# ok 439 # SKIP write_invalid.Loopback.95
# ok 440 event_missing.Loopback.95
# ok 441 event_spurious.Loopback.95
# # PCM Slave Format.0 value 2 invalid for step 1 minimum 0
# not ok 442 get_value.Loopback.94
# # Loopback.94 PCM Slave Format
# ok 443 name.Loopback.94
# # PCM Slave Format is not writeable
# ok 444 # SKIP write_default.Loopback.94
# # PCM Slave Format is not writeable
# ok 445 # SKIP write_valid.Loopback.94
# # PCM Slave Format is not writeable
# ok 446 # SKIP write_invalid.Loopback.94
# ok 447 event_missing.Loopback.94
# ok 448 event_spurious.Loopback.94
# ok 449 get_value.Loopback.93
# # Loopback.93 PCM Slave Active
# ok 450 name.Loopback.93
# # PCM Slave Active is not writeable
# ok 451 # SKIP write_default.Loopback.93
# # PCM Slave Active is not writeable
# ok 452 # SKIP write_valid.Loopback.93
# # PCM Slave Active is not writeable
# ok 453 # SKIP write_invalid.Loopback.93
# ok 454 event_missing.Loopback.93
# ok 455 event_spurious.Loopback.93
# ok 456 get_value.Loopback.92
# # Loopback.92 PCM Notify
# # 0.92 PCM Notify is a writeable boolean but not a Switch
# not ok 457 name.Loopback.92
# ok 458 write_default.Loopback.92
# ok 459 write_valid.Loopback.92
# ok 460 write_invalid.Loopback.92
# ok 461 event_missing.Loopback.92
# ok 462 event_spurious.Loopback.92
# # PCM Rate Shift 100000.0 value 100000 invalid for step 1 minimum 80000
# not ok 463 get_value.Loopback.91
# # Loopback.91 PCM Rate Shift 100000
# ok 464 name.Loopback.91
# ok 465 write_default.Loopback.91
# ok 466 write_valid.Loopback.91
# ok 467 write_invalid.Loopback.91
# ok 468 event_missing.Loopback.91
# ok 469 event_spurious.Loopback.91
# ok 470 get_value.Loopback.90
# # Loopback.90 PCM Slave Access Mode
# ok 471 name.Loopback.90
# # PCM Slave Access Mode is not writeable
# ok 472 # SKIP write_default.Loopback.90
# # PCM Slave Access Mode is not writeable
# ok 473 # SKIP write_valid.Loopback.90
# # PCM Slave Access Mode is not writeable
# ok 474 # SKIP write_invalid.Loopback.90
# ok 475 event_missing.Loopback.90
# ok 476 event_spurious.Loopback.90
# # PCM Slave Channels.0 value 2 invalid for step 1 minimum 1
# not ok 477 get_value.Loopback.89
# # Loopback.89 PCM Slave Channels
# ok 478 name.Loopback.89
# # PCM Slave Channels is not writeable
# ok 479 # SKIP write_default.Loopback.89
# # PCM Slave Channels is not writeable
# ok 480 # SKIP write_valid.Loopback.89
# # PCM Slave Channels is not writeable
# ok 481 # SKIP write_invalid.Loopback.89
# ok 482 event_missing.Loopback.89
# ok 483 event_spurious.Loopback.89
# # PCM Slave Rate.0 value 48000 invalid for step 1 minimum 0
# not ok 484 get_value.Loopback.88
# # Loopback.88 PCM Slave Rate
# ok 485 name.Loopback.88
# # PCM Slave Rate is not writeable
# ok 486 # SKIP write_default.Loopback.88
# # PCM Slave Rate is not writeable
# ok 487 # SKIP write_valid.Loopback.88
# # PCM Slave Rate is not writeable
# ok 488 # SKIP write_invalid.Loopback.88
# ok 489 event_missing.Loopback.88
# ok 490 event_spurious.Loopback.88
# # PCM Slave Format.0 value 2 invalid for step 1 minimum 0
# not ok 491 get_value.Loopback.87
# # Loopback.87 PCM Slave Format
# ok 492 name.Loopback.87
# # PCM Slave Format is not writeable
# ok 493 # SKIP write_default.Loopback.87
# # PCM Slave Format is not writeable
# ok 494 # SKIP write_valid.Loopback.87
# # PCM Slave Format is not writeable
# ok 495 # SKIP write_invalid.Loopback.87
# ok 496 event_missing.Loopback.87
# ok 497 event_spurious.Loopback.87
# ok 498 get_value.Loopback.86
# # Loopback.86 PCM Slave Active
# ok 499 name.Loopback.86
# # PCM Slave Active is not writeable
# ok 500 # SKIP write_default.Loopback.86
# # PCM Slave Active is not writeable
# ok 501 # SKIP write_valid.Loopback.86
# # PCM Slave Active is not writeable
# ok 502 # SKIP write_invalid.Loopback.86
# ok 503 event_missing.Loopback.86
# ok 504 event_spurious.Loopback.86
# ok 505 get_value.Loopback.85
# # Loopback.85 PCM Notify
# # 0.85 PCM Notify is a writeable boolean but not a Switch
# not ok 506 name.Loopback.85
# ok 507 write_default.Loopback.85
# ok 508 write_valid.Loopback.85
# ok 509 write_invalid.Loopback.85
# ok 510 event_missing.Loopback.85
# ok 511 event_spurious.Loopback.85
# # PCM Rate Shift 100000.0 value 100000 invalid for step 1 minimum 80000
